                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.7164,                 18.004,                 8.3514,                      0,                      0,                      0,                      0,                 4.8315,                   34.4,                 8.2362,             0.00032692,             0.00032692,             0.00032692
                      2,                 5.9761,                 15.139,                 7.7486,                      0,                      0,                      0,                      0,                 5.4323,                 19.254,                 7.8215,             0.00065372,             0.00065372,             0.00065372
                      3,                 5.5667,                  11.56,                 6.3973,                      0,                      0,                      0,                      0,                 5.6587,                 9.9234,                 5.8283,             0.00097392,             0.00097392,             0.00097392
                      4,                 5.1162,                 9.7054,                 5.4275,                0.21232,                0.06371,                0.12683,                0.03451,                 5.2499,                 7.8851,                 4.8095,              0.0009703,              0.0009703,              0.0009703
                      5,                  4.701,                 7.9257,                 4.7862,                0.25051,                0.25294,                0.19107,                0.05312,                 4.2854,                 7.4218,                 3.9732,              0.0009604,              0.0009604,              0.0009604
                      6,                 4.3919,                 6.9711,                 4.4018,                 0.2659,                0.15785,                0.13081,                0.03637,                 4.6108,                 6.4358,                 3.9033,              0.0009505,              0.0009505,              0.0009505
                      7,                 4.0196,                 6.1791,                  4.034,                 0.1613,                0.39828,                0.19488,                0.07488,                  4.422,                 6.0847,                 3.4938,              0.0009406,              0.0009406,              0.0009406
                      8,                  3.721,                 5.4409,                 3.7783,                0.29774,                0.30196,                0.16436,                 0.0665,                 3.8316,                 4.8186,                   3.15,              0.0009307,              0.0009307,              0.0009307
                      9,                 3.5434,                 4.9522,                 3.4717,                0.20613,                0.31337,                0.25452,                0.11945,                  3.597,                 4.7082,                 3.0185,              0.0009208,              0.0009208,              0.0009208
                     10,                  3.254,                 4.4976,                 3.2461,                 0.3287,                 0.3968,                0.33704,                0.14607,                 3.5247,                 4.2003,                 2.9755,              0.0009109,              0.0009109,              0.0009109
                     11,                 3.1145,                 4.1782,                  3.112,                 0.2851,                0.49555,                0.36628,                0.19305,                 3.1319,                 3.8172,                 2.9768,               0.000901,               0.000901,               0.000901
                     12,                  2.834,                 3.8257,                 2.8705,                0.38423,                0.43273,                0.40525,                0.22856,                 2.9951,                 3.6223,                 2.6847,              0.0008911,              0.0008911,              0.0008911
                     13,                 2.7505,                 3.6569,                 2.8587,                0.48762,                0.40558,                 0.4443,                0.25535,                 3.0865,                 3.3866,                 2.7935,              0.0008812,              0.0008812,              0.0008812
