                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1652,                  8.459,                 4.0784,                      0,                      0,                      0,                      0,                 3.9232,                 18.402,                 4.0007,             0.00029956,             0.00029956,             0.00029956
                      2,                 2.7389,                 4.1281,                 3.0724,                0.70398,                0.03101,                0.08408,                0.03642,                 2.5244,                 3.8439,                  2.532,             0.00060057,             0.00060057,             0.00060057
                      3,                 2.3625,                  3.303,                 2.5515,                0.33671,                 0.4506,                0.20095,                0.10117,                 1.7265,                 4.0701,                 1.8062,             0.00089958,             0.00089958,             0.00089958
                      4,                 2.1568,                 2.7817,                 2.3013,                0.35891,                0.50353,                0.22882,                0.11087,                  2.135,                  2.091,                 2.0561,                 0.0009,                 0.0009,                 0.0009
                      5,                 1.9018,                 2.4922,                 2.0629,                0.48213,                 0.4581,                0.34674,                0.20869,                 1.5991,                  1.735,                 1.6184,               0.000897,               0.000897,               0.000897
                      6,                 1.6898,                 2.2202,                 1.8253,                0.46777,                0.43294,                 0.3511,                 0.2464,                 1.3477,                 1.9226,                 1.4839,               0.000894,               0.000894,               0.000894
                      7,                 1.6179,                 2.0927,                 1.7348,                0.44075,                0.51045,                0.35206,                0.23218,                 1.3377,                 1.5148,                 1.4607,               0.000891,               0.000891,               0.000891
                      8,                 1.4933,                 1.9225,                 1.6406,                0.36343,                0.61634,                0.37038,                0.24902,                 1.2594,                 1.5458,                  1.524,               0.000888,               0.000888,               0.000888
                      9,                 1.3954,                 1.8133,                 1.5924,                 0.3922,                0.56965,                0.38755,                0.26567,                 1.2077,                 1.7117,                 1.3709,               0.000885,               0.000885,               0.000885
                     10,                 1.3141,                 1.7124,                 1.5042,                0.43316,                0.46606,                0.38492,                0.24414,                 1.1577,                  1.414,                 1.3768,               0.000882,               0.000882,               0.000882
                     11,                 1.2712,                 1.6678,                 1.4463,                0.51127,                0.56171,                0.40799,                0.27749,                  1.152,                 1.3464,                 1.2435,               0.000879,               0.000879,               0.000879
                     12,                 1.1769,                  1.585,                 1.3908,                0.44625,                0.53829,                0.41206,                 0.2849,                 1.0444,                 1.3875,                 1.1986,               0.000876,               0.000876,               0.000876
                     13,                 1.1412,                 1.5433,                 1.3617,                0.48743,                0.49606,                0.42816,                0.29226,                 1.0709,                 1.3539,                 1.2451,               0.000873,               0.000873,               0.000873
                     14,                 1.0805,                 1.4355,                 1.3109,                 0.4712,                0.51773,                0.41941,                0.29193,                 1.1418,                 1.3204,                 1.2145,                0.00087,                0.00087,                0.00087
                     15,                0.99302,                  1.386,                 1.2535,                 0.5336,                0.54954,                0.46933,                0.31882,                 1.0907,                 1.2022,                  1.196,               0.000867,               0.000867,               0.000867
                     16,                0.93894,                 1.2942,                 1.2028,                0.51864,                0.55665,                0.46431,                0.32381,                 1.0318,                 1.1396,                 1.1926,               0.000864,               0.000864,               0.000864
                     17,                0.91851,                 1.2822,                 1.1752,                0.51061,                0.56811,                0.48774,                0.37088,                0.95677,                 1.0329,                  1.101,               0.000861,               0.000861,               0.000861
                     18,                0.83059,                 1.2196,                   1.15,                 0.5344,                0.51934,                0.50137,                0.38394,                0.85447,                 1.1192,                 1.0762,             0.00085801,             0.00085801,             0.00085801
                     19,                0.85767,                 1.1964,                 1.1289,                0.57553,                0.53262,                0.50038,                0.35629,                0.97356,                 1.0167,                 1.1603,             0.00085501,             0.00085501,             0.00085501
                     20,                0.79393,                  1.135,                  1.096,                0.54369,                0.54701,                0.51872,                0.37736,                0.99359,                 1.0956,                 1.1051,             0.00085201,             0.00085201,             0.00085201
                     21,                0.84366,                 1.1826,                 1.1359,                0.63702,                0.55881,                0.56762,                0.42325,                0.97035,                 1.0381,                 1.0246,             0.00084901,             0.00084901,             0.00084901
                     22,                0.82986,                 1.1179,                 1.0985,                0.65796,                0.56895,                0.56488,                 0.4465,                0.80889,                 1.0981,                 1.0293,             0.00084601,             0.00084601,             0.00084601
                     23,                0.78204,                 1.0572,                 1.0871,                0.66713,                0.52009,                 0.5653,                0.40961,                 0.9355,                0.93529,                 1.0729,             0.00084301,             0.00084301,             0.00084301
                     24,                0.77178,                 1.0271,                 1.0686,                0.72438,                0.53201,                0.62847,                0.46898,                0.91704,                0.86176,                 1.0314,             0.00084001,             0.00084001,             0.00084001
                     25,                0.69877,                0.95713,                 1.0358,                0.48463,                0.59848,                0.60287,                0.46599,                  0.819,                 1.0531,                 1.0001,             0.00083701,             0.00083701,             0.00083701
                     26,                0.76298,                 1.0123,                 1.0705,                0.63468,                0.59941,                0.57089,                0.43445,                0.90908,                0.90024,                 1.0209,             0.00083401,             0.00083401,             0.00083401
                     27,                0.69027,                0.94055,                 1.0445,                0.65197,                0.57764,                0.59186,                0.45179,                0.86181,                0.95357,                 1.0591,             0.00083101,             0.00083101,             0.00083101
                     28,                0.72313,                0.95723,                 1.0335,                0.79451,                0.52988,                0.62535,                0.45439,                0.95146,                0.84369,                 1.0447,             0.00082801,             0.00082801,             0.00082801
                     29,                 0.6691,                0.90982,                 1.0109,                0.85232,                0.54599,                0.69816,                0.56144,                0.77097,                0.76065,                 1.0112,             0.00082501,             0.00082501,             0.00082501
                     30,                0.70701,                0.91417,                 1.0205,                0.87511,                0.54278,                0.69907,                 0.5414,                0.82902,                0.77755,                 1.0196,             0.00082201,             0.00082201,             0.00082201
                     31,                0.66107,                0.84978,                 1.0059,                0.83516,                0.60579,                0.75082,                0.59004,                0.76622,                0.70579,                0.96167,             0.00081901,             0.00081901,             0.00081901
                     32,                0.62636,                 0.8068,                0.99381,                0.56292,                0.79505,                0.76138,                0.56714,                0.84197,                0.73339,                0.96381,             0.00081601,             0.00081601,             0.00081601
                     33,                0.63216,                0.83923,                0.99948,                0.81523,                0.56866,                0.70082,                0.54985,                0.82396,                0.88126,                0.95094,             0.00081301,             0.00081301,             0.00081301
                     34,                0.61626,                0.78547,                0.99001,                0.84653,                0.59343,                0.73643,                0.58526,                0.74354,                0.69666,                0.93495,             0.00081001,             0.00081001,             0.00081001
                     35,                0.60583,                0.77977,                0.98817,                0.70333,                 0.7599,                0.80963,                0.64366,                0.69507,                0.60546,                0.87302,             0.00080701,             0.00080701,             0.00080701
                     36,                0.63737,                0.81982,                 1.0015,                0.72071,                0.63781,                0.68212,                0.54378,                0.72018,                0.77118,                0.92529,             0.00080401,             0.00080401,             0.00080401
                     37,                0.62021,                0.80236,                0.99485,                0.67591,                0.67393,                0.75643,                 0.6135,                0.72946,                0.63779,                 0.9144,             0.00080101,             0.00080101,             0.00080101
                     38,                0.61714,                0.79058,                0.97394,                0.64116,                0.67695,                 0.7169,                 0.5721,                0.68894,                0.69165,                 0.8694,             0.00079801,             0.00079801,             0.00079801
                     39,                0.57456,                0.74142,                0.96025,                 0.8602,                 0.6187,                0.76819,                0.62209,                0.68212,                0.61509,                0.84461,             0.00079501,             0.00079501,             0.00079501
                     40,                0.57187,                0.71392,                0.94961,                0.82673,                0.71143,                0.81381,                0.65421,                0.70203,                0.57158,                0.84546,             0.00079201,             0.00079201,             0.00079201
                     41,                0.58799,                 0.7179,                 0.9547,                0.85613,                0.70315,                0.83887,                0.67585,                0.66537,                0.58987,                0.85488,             0.00078901,             0.00078901,             0.00078901
                     42,                0.56411,                0.71729,                0.96229,                0.74714,                0.75893,                0.82349,                0.65032,                0.67319,                0.60499,                0.82418,             0.00078601,             0.00078601,             0.00078601
                     43,                0.57239,                0.69589,                0.94796,                0.82345,                 0.7398,                0.84309,                0.68975,                0.62896,                0.54455,                0.83678,             0.00078301,             0.00078301,             0.00078301
                     44,                0.52644,                0.65208,                0.95056,                0.78268,                0.69718,                0.76751,                0.62701,                 0.6775,                0.59931,                0.86171,             0.00078001,             0.00078001,             0.00078001
                     45,                 0.5896,                0.69583,                0.95384,                0.85672,                0.75913,                0.85424,                0.69336,                0.64342,                0.53058,                0.82747,             0.00077701,             0.00077701,             0.00077701
                     46,                0.53529,                0.69993,                0.93478,                0.82512,                0.73784,                 0.8201,                0.67091,                0.67868,                0.65081,                0.85687,             0.00077401,             0.00077401,             0.00077401
                     47,                0.55401,                0.68283,                0.95102,                0.90145,                0.69851,                0.84372,                0.67523,                0.74127,                0.62786,                0.87343,             0.00077101,             0.00077101,             0.00077101
